Date,Close,t Standardized Residuals,Conditional Volatility,Mu
1985-01-03,164.57000732421875,-0.7118090841720073,0.007886597770681292,0.0007644499133471556
1985-01-04,163.67999267578125,-0.7977166329649182,0.00775619852214377,0.0007644499133471556
1985-01-07,164.24000549316406,0.34525645356679724,0.007678636444783053,0.0007644499133471556
1985-01-08,163.99000549316406,-0.3086681574449997,0.007411753245363152,0.0007644499133471556
1985-01-09,165.17999267578125,0.9041555186044308,0.007151214744639483,0.0007644499133471556
1985-01-10,168.30999755859375,2.5171686755367806,0.007153794996966642,0.0007644499133471556
1985-01-11,167.91000366210938,-0.35626442665724717,0.008824370129158866,0.0007644499133471556
1985-01-14,170.50999450683594,1.71813747502741,0.008498342380353716,0.0007644499133471556
1985-01-15,170.80999755859375,0.10692248324309125,0.009291307117086261,0.0007644499133471556
1985-01-16,171.19000244140625,0.16402011947561979,0.008887944860213208,0.0007644499133471556
1985-01-17,170.72999572753906,-0.40578158105050677,0.00851487318373355,0.0007644499133471556
1985-01-18,171.32000732421875,0.3266503811357228,0.00822105064654485,0.0007644499133471556
1985-01-21,175.22999572753906,2.753023761487957,0.007919193154484265,0.0007644499133471556
1985-01-22,175.47999572753906,0.06530834910144766,0.010124734558019963,0.0007644499133471556
1985-01-23,177.3000030517578,0.9879796766394593,0.00966996452900291,0.0007644499133471556
1985-01-24,176.7100067138672,-0.4226887193411162,0.009694300331994999,0.0007644499133471556
1985-01-25,177.35000610351562,0.30497912359769613,0.00934738376212343,0.0007644499133471556
1985-01-28,177.39999389648438,-0.05375506812391389,0.00897831766969042,0.0007644499133471556
1985-01-29,179.17999267578125,1.0733422396522205,0.008589395412838052,0.0007644499133471556
1985-01-30,179.38999938964844,0.0467899444276905,0.008696464745661226,0.0007644499133471556
1985-01-31,179.6300048828125,0.06878418372592704,0.008323915620816795,0.0007644499133471556
1985-02-01,178.6300048828125,-0.7958930653278382,0.007974692025380516,0.0007644499133471556
1985-02-04,180.3500061035156,1.117732402811995,0.00788948809308301,0.0007644499133471556
1985-02-05,180.61000061035156,0.08414484604939702,0.008035224273335962,0.0007644499133471556
1985-02-06,180.42999267578125,-0.2286514189891449,0.0077043624265373525,0.0007644499133471556
1985-02-07,181.82000732421875,0.9324142873583273,0.007410790278285848,0.0007644499133471556
1985-02-08,182.19000244140625,0.17081908952577468,0.007425605016317891,0.0007644499133471556
1985-02-11,180.5099945068359,-1.4044969498796394,0.007140218014084934,0.0007644499133471556
1985-02-12,180.55999755859375,-0.06480638596139937,0.007522073436906962,0.0007644499133471556
1985-02-13,183.3500061035156,2.0174767090467,0.007221574771869458,0.0007644499133471556
1985-02-14,182.41000366210935,-0.7150972749064264,0.008256858404690553,0.0007644499133471556
1985-02-15,181.6000061035156,-0.6426148286992842,0.008115080260626701,0.0007644499133471556
1985-02-19,181.3300018310547,-0.28367748280340555,0.007939875608385855,0.0007644499133471556
1985-02-20,181.17999267578125,-0.20829200110270368,0.007643422948173189,0.0007644499133471556
1985-02-21,180.19000244140625,-0.8494492905324238,0.007350124970603542,0.0007644499133471556
1985-02-22,179.36000061035156,-0.7356794438731296,0.007314803368725282,0.0007644499133471556
1985-02-25,179.22999572753906,-0.20637526706176132,0.007217624745963456,0.0007644499133471556
1985-02-26,181.1699981689453,1.4391122199883637,0.006949759319105101,0.0007644499133471556
1985-02-27,180.7100067138672,-0.44950283582754974,0.007356312281233954,0.0007644499133471556
1985-02-28,181.17999267578125,0.2568127879624335,0.007137293880316331,0.0007644499133471556
1985-03-01,183.22999572753903,1.5236807571982525,0.006882510785591601,0.0007644499133471556
1985-03-04,182.05999755859375,-0.973808370963884,0.007363185031583521,0.0007644499133471556
1985-03-05,182.22999572753903,0.02279997269956757,0.007406257637526948,0.0007644499133471556
1985-03-06,180.6499938964844,-1.331991293201455,0.007111629187812907,0.0007644499133471556
1985-03-07,179.50999450683594,-0.9550233920982593,0.007429124456204538,0.0007644499133471556
1985-03-08,179.10000610351562,-0.40906291561960745,0.007458492895509288,0.0007644499133471556
1985-03-11,178.7899932861328,-0.34575903141340997,0.007221497111976834,0.0007644499133471556
1985-03-12,179.66000366210938,0.5858898080563067,0.0069805806535543045,0.0007644499133471556
1985-03-13,178.19000244140625,-1.3149578014451038,0.00682929569878896,0.0007644499133471556
1985-03-14,177.83999633789062,-0.38314527372776286,0.007126830153641076,0.0007644499133471556
1985-03-15,176.52999877929688,-1.182160471252982,0.006900816335265792,0.0007644499133471556
1985-03-18,176.8800048828125,0.17141811895278403,0.0070954433656049256,0.0007644499133471556
1985-03-19,179.5399932861328,2.0733516254321565,0.006830473274401197,0.0007644499133471556
1985-03-20,179.0800018310547,-0.4224603045239509,0.007881907989588583,0.0007644499133471556
1985-03-21,179.35000610351562,0.09731078807905666,0.007626538776986993,0.0007644499133471556
1985-03-22,179.0399932861328,-0.3407041139689548,0.007321546046315786,0.0007644499133471556
1985-03-25,177.97000122070312,-0.9554648568601397,0.007073680741100952,0.0007644499133471556
1985-03-26,178.42999267578125,0.25554393065735165,0.007109825916223679,0.0007644499133471556
1985-03-27,179.5399932861328,0.7930042799644934,0.006856470718430202,0.0007644499133471556
1985-03-28,179.5399932861328,-0.11233998060050078,0.006804789437036344,0.0007644499133471556
1985-03-29,180.66000366210935,0.8324213339133304,0.006552445165862294,0.0007644499133471556
1985-04-01,181.27000427246097,0.3990789365898018,0.0065309739494812035,0.0007644499133471556
1985-04-02,180.52999877929688,-0.7654302672961852,0.006343025587595628,0.0007644499133471556
1985-04-03,179.11000061035156,-1.3756733780109016,0.006296019530307843,0.0007644499133471556
1985-04-04,179.02999877929688,-0.18267869923594118,0.006630290332247846,0.0007644499133471556
1985-04-08,178.02999877929688,-0.9952856115962648,0.006395916934685049,0.0007644499133471556
1985-04-09,178.2100067138672,0.03805142422498234,0.0064688612985638605,0.0007644499133471556
1985-04-10,179.4199981689453,0.9627209214931741,0.006234722877067134,0.0007644499133471556
1985-04-11,180.19000244140625,0.5591214732979549,0.006292009190710892,0.0007644499133471556
1985-04-12,180.5399932861328,0.19076651526455907,0.006164653579492669,0.0007644499133471556
1985-04-15,180.9199981689453,0.2244736101104102,0.005961332793330932,0.0007644499133471556
1985-04-16,181.1999969482422,0.1353971602090853,0.005775544801300087,0.0007644499133471556
1985-04-17,181.67999267578125,0.3363115301195756,0.005593120171931937,0.0007644499133471556
1985-04-18,180.83999633789065,-0.9907460280759496,0.005449090955668296,0.0007644499133471556
